method,N,retention,locality,score,cum_write_s
CAKE v3,1,1.0,1.0,1.0,0.005
CAKE v3,5,1.0,0.95,0.9744,0.024
CAKE v3,10,1.0,0.9,0.9474,0.047
CAKE v3,25,1.0,0.9,0.9474,0.116
CAKE v3,50,1.0,0.85,0.9189,0.229
CAKE v3,100,1.0,0.7,0.8235,0.459
CAKE v3,200,1.0,0.65,0.7879,0.919
CAKE v3,400,0.995,0.55,0.7084,1.842
ROME,1,0.0,0.85,0.0,12.315
ROME,5,0.0,0.6,0.0,54.192
ROME,10,0.0,0.3,0.0,100.547
ROME,25,0.0,0.05,0.0,222.498
ROME,50,0.0,0.0,0.0,342.989
ROME,100,0.0,0.0,0.0,758.368
In-context/RAG,1,1.0,1.0,1.0,0.0
In-context/RAG,5,1.0,1.0,1.0,0.0
In-context/RAG,10,0.9,1.0,0.9474,0.0
In-context/RAG,25,0.88,1.0,0.9362,0.0
In-context/RAG,50,0.88,1.0,0.9362,0.0
In-context/RAG,100,0.92,1.0,0.9583,0.0
In-context/RAG,200,0.935,1.0,0.9664,0.0
In-context/RAG,400,0.94,1.0,0.9691,0.0
Base,1,0.0,1.0,0.0,0.0
Base,5,0.0,1.0,0.0,0.0
Base,10,0.0,1.0,0.0,0.0
Base,25,0.0,1.0,0.0,0.0
Base,50,0.0,1.0,0.0,0.0
Base,100,0.01,1.0,0.0198,0.0
Base,200,0.005,1.0,0.01,0.0
Base,400,0.005,1.0,0.01,0.0
